BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Lu2017a","Lu, Jian; Sakaguchi, Koichi; Yang, Qing; Leung, L. Ruby; Chen, Gang; Zhao, Chun; Swenson, Erik; Hou, Zhangshuan J.","Examining the Hydrological Variations in an Aquaplanet World Using Wave Activity Transformation","Journal of Climate",30,7,"apr","2559--2576",2017,"","","http://journals.ametsoc.org/doi/10.1175/JCLI-D-16-0561.1","","","","","","","","","","","","","AbstractBuilding on the recent advent of the concept of finite-amplitude wave activity, a contour-following diagnostics for column water vapor (CWV) is developed and applied to a pair of aquaplanet model simulations to understand and quantify the higher moments in the global hydrological cycle. The Lagrangian nature of the diagnostics leads to a more tractable formalism for the transient, zonally asymmetric component of the hydrological cycle, with a strong linear relation emerging between the wave activity and the wave component of precipitation minus evaporation (). The dry-versus-wet disparity in the transient hydrological cycle is measured by , and it is found to increase at a super-Clausius–Clapeyron rate at the poleward side of the mean storm track in response to a uniform sea surface temperature (SST) warming and the meridional structure of the increase can be largely attributed to the change of the meridional stirring scale of the midlatitude Rossby waves. Further scaling for indicates that the ra...","","Extratropical cyclones,Hydrologic cycle,Lagrangian circulation/transport,Transport","",""
7,"","Martineau2017","Martineau, Patrick; Chen, Gang; Burrows, D. Alex","Wave Events: Climatology, Trends, and Relationship to Northern Hemisphere Winter Blocking and Weather Extremes","Journal of Climate",30,15,"aug","5675--5697",2017,"","","http://journals.ametsoc.org/doi/10.1175/JCLI-D-16-0692.1","","","","","","","","","","","","","AbstractDiagnostics of finite amplitude Local Wave Activity (LWA) are applied on the 500-hPa geopotential height field to diagnose persistent synoptic weather events of anomalously large wave activity in the Northern Hemisphere. By considering the cyclonic and anticyclonic components of LWA separately, persistent weather systems associated with large-amplitude troughs and ridges are detected. While anticyclonic wave events are predominantly found over Europe and Alaska, cyclonic wave events are usually occurring over East Asia and Northeastern Canada. Those preferred regions correspond to the location of planetary-scale ridges and troughs, which contribute, together with transient anomalies, to the formation of wave events. Although wave events are not blocking events per definition, they are typically associated with increased blocking in their vicinity. Their spatial relationship to blocking, however, varies depending on their cyclonic or anticyclonic nature and the type of wave-breaking signatures. Wav...","","","",""
7,"","Martineau2018","Martineau, Patrick; Chen, Gang; Son, Seok-Woo; Kim, Joowan","Lower-stratospheric control of the frequency of sudden stratospheric warming events","Journal of Geophysical Research: Atmospheres",,,"feb","",2018,"","","http://doi.wiley.com/10.1002/2017JD027648","","","","","","","","","","","","","","","","",""
7,"","McDonald2016","McDonald, George D.; Hayes, Alexander G.; Ewing, Ryan C.; Lora, Juan M.; Newman, Claire E.; Tokano, Tetsuya; Lucas, Antoine; Soto, Alejandro; Chen, Gang","Variations in Titan's dune orientations as a result of orbital forcing","Icarus",270,,"","197--210",2016,"","","http://dx.doi.org/10.1016/j.icarus.2015.11.036","","","","","","Elsevier Inc.","","","","","","","Wind-blown dunes are a record of the climatic history in Titan's equatorial region. Through modeling of the climatic conditions associated with Titan's historical orbital configurations (arising from apsidal precessions of Saturn's orbit), we present evidence that the orientations of the dunes are influenced by orbital forcing. Analysis of 3 Titan general circulation models (GCMs) in conjunction with a sediment transport model provides the first direct intercomparison of results from different Titan GCMs. We report variability in the dune orientations predicted for different orbital epochs of up to 70°. Although the response of the GCMs to orbital forcing varies, the orbital influence on the dune orientations is found to be significant across all models. Furthermore, there is near agreement among the two models run with surface topography, with 3 out of the 5 dune fields matching observation for the most recent orbital cycle. Through comparison with observations by Cassini, we find situations in which the observed dune orientations are in best agreement with those modeled for previous orbital configurations or combinations thereof, representing a larger portion of the cycle. We conclude that orbital forcing could be an important factor in governing the present-day dune orientations observed on Titan and should be considered when modeling dune evolution.","","Atmospheres, dynamics,Titan,Titan, atmosphere,Titan, surface","",""
7,"","Ming2011","Ming, Yi; Ramaswamy, V.; Chen, Gang","A Model Investigation of Aerosol-Induced Changes in Boreal Winter Extratropical Circulation","Journal of Climate",24,23,"dec","6077--6091",2011,"","","http://journals.ametsoc.org/doi/abs/10.1175/2011JCLI4111.1","","","","","","","","","","","","","","","","",""
7,"","Nie2013","Nie, Yu; Zhang, Yang; Yang, Xiu-Qun; Chen, Gang","Baroclinic anomalies associated with the Southern Hemisphere Annular Mode: Roles of synoptic and low-frequency eddies","Geophysical Research Letters",40,10,"may","2361--2366",2013,"","","http://doi.wiley.com/10.1002/grl.50396","","","","","","","","","","","","","","","","",""
7,"","Nie2014","Nie, Yu; Zhang, Yang; Chen, Gang; Yang, Xiu-qun; Burrows, D.  Alex","Quantifying barotropic and baroclinic eddy feedbacks in the persistence of the Southern Annular Mode","Geophysical Research Letters",41,23,"dec","8636--8644",2014,"","","http://doi.wiley.com/10.1002/2014GL062210","","","","","","","","","","","","","","","10.1002/2014GL062210 and SAM,barotropic/baroclinic eddy feedback,eddy-mean flow interactions,finite amplitude wave activity diagnostic","",""
7,"","Nie2015","Nie, Yu; Zhang, Yang; Chen, Gang; Yang, Xiu-Qun","Delineating the Barotropic and Baroclinic Mechanisms in the Midlatitude Eddy-Driven Jet Response to Lower-Tropospheric Thermal Forcing","Journal of the Atmospheric Sciences",73,1,"jan","429--448",2016,"","","http://journals.ametsoc.org/doi/10.1175/JAS-D-15-0090.1","","","","","","","","","","","","","","","","",""
7,"","Palipane2013","Palipane, Erool; Lu, Jian; Chen, Gang; Kinter, James L.","Improved annular mode variability in a global atmospheric general circulation model with 16 km horizontal resolution","Geophysical Research Letters",40,18,"sep","4893--4899",2013,"","","http://doi.wiley.com/10.1002/grl.50649","","","","","","","","","","","","","","","","",""
7,"","Palipane2016","Palipane, Erool; Lu, Jian; Staten, Paul; Chen, Gang; Schneider, Edwin K.","Investigating the zonal wind response to SST warming using transient ensemble AGCM experiments","Climate Dynamics",,,"apr","",2016,"","","http://link.springer.com/10.1007/s00382-016-3092-9","","","","","","Springer Berlin Heidelberg","","","","","","","","","Effective diffusivity,Finite amplitude wave activity,Greenhouse warming,Phase speed,Wave reflection,effective,finite amplitude,greenhouse warming,phase speed,wave activity,wave reflection","",""
7,"","Solomon2012","Solomon, Abraham; Chen, Gang; Lu, Jian","Finite-amplitude Lagrangian-mean wave activity applied to the baroclinic eddy life-cycle","J. Atmos. Sci.",69,10,"oct","3013--3027",2012,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-11-0294.1","","","","","","","","","","","","","","","","",""
7,"","Sun2011","Sun, Lantao; Robinson, Walter A.; Chen, Gang","The Role of Planetary Waves in the Downward Influence of Stratospheric Final Warming Events","Journal of the Atmospheric Sciences",68,12,"dec","2826--2843",2011,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-11-014.1","","","","","","","","","","","","From Duplicate 2 ( The Role of Planetary Waves in the Downward Influence of Stratospheric Final Warming Events - Sun, Lantao; Robinson, Walter a.; Chen, Gang ) ","","","","",""
7,"","Sun2012","Sun, Lantao; Robinson, Walter A.; Chen, Gang","The Predictability of Stratospheric Warming Events: More from the Troposphere or the Stratosphere?","Journal of the Atmospheric Sciences",69,2,"feb","768--783",2012,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-11-0144.1","","","","","","","","","","","","","","","","",""
7,"","Sun2013","Sun, Lantao; Chen, Gang; Lu, Jian","Sensitivities and Mechanisms of the Zonal Mean Atmospheric Circulation Response to Tropical Warming","Journal of the Atmospheric Sciences",70,8,"aug","2487--2504",2013,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-12-0298.1","","","","","","","","","","","","","","","","",""
7,"","Sun2014","Sun, Lantao; Chen, Gang; Robinson, Walter A.","The Role of Stratospheric Polar Vortex Breakdown in Southern Hemisphere Climate Trends","Journal of the Atmospheric Sciences",,,"apr","2335--2353",2014,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-13-0290.1","","","","","","","","","","","","","AbstractThis paper investigates the connection between the delay in the final breakdown of the stratospheric polar vortex, the stratospheric final warming (SFW), and Southern Hemisphere climate trends. We first analyze ERA-Interim reanalysis and three climate model outputs with different climate forcings. Climate trends appear when there is a delay in the timing of SFWs. When regressed onto the SFW dates (which reflects the anomaly when the SFW is delayed for one standard deviation of its onset dates), the anomaly pattern bears a resemblance to the observed climate trends, for all the model outputs, even without any trends. This suggests that the stratospheric and tropospheric circulations are organized by the timing of SFWs, in both the interannual time scale and climate trends due to external forcings.We further explore the role of the SFW using a simplified dynamical model, in which the ozone depletion is mimicked by a springtime polar stratospheric cooling. The responses of zonal-mean atmospheric circ...","","","",""
7,"","Wu2018","Wu, Yutian; Chen, Gang; Taylor, Lindsey; Zhang, Pengfei","On the Linkage Between the Asian Summer Monsoon and Tropopause Folds","Journal of Geophysical Research: Atmospheres",123,4,"feb","2037--2049",2018,"","","http://doi.wiley.com/10.1002/2017JD027870","","","","","","","","","","","","","","","asian summer monsoon,extreme rainfall,rossby wave breaking,tropopause folds","",""
7,"","Xue2017","Xue, Daokai; Lu, Jian; Sun, Lantao; Chen, Gang; Zhang, Yaocun","Local increase of anticyclonic wave activity over northern Eurasia under amplified Arctic warming","Geophysical Research Letters",,,"","",2017,"","","http://doi.wiley.com/10.1002/2017GL072649","","","","","","","","","","","","","","","","",""
7,"","Yang2014a","Yang, Huang; Chen, Gang; Domeisen, Daniela I. V. V.","Sensitivities of the Lower-Stratospheric Transport and Mixing to Tropical SST Heating","Journal of the Atmospheric Sciences",71,7,"jul","2674--2694",2014,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-13-0276.1","","","","","","","","","","","","","AbstractThe sensitivities of the Brewer-Dobson Circulation (BDC) to different distributions of tropical SST heating are investigated in an idealized aqua-planet model. It is found that an increase in tropical SSTs generally leads to an acceleration of tropical upwelling and an associated reduction in the Age of Air (AOA) in the polar stratosphere, and that the AOA near the subtropical tropopause is correlated with local isentropic mixing of tropospheric air with stratospheric air.The zonal distribution of SST perturbations has a major impact on the vertical and meridional structure of the BDC as compared with other SST characteristics. Zonally localized SST heatings tend to generate a shallow acceleration of the stratospheric residual circulation, enhanced isentropic mixing associated with a weakened stratospheric jet, and a reduction in AOA mostly within the polar vortex. Contrarily, SST heatings with a zonally symmetric structure tend to produce a deep strengthening of the stratospheric residual circula...","","","",""
7,"","Yang2014b","Yang, Huang; Sun, Lantao; Chen, Gang","Separating the Mechanisms of Transient Responses to Stratospheric Ozone Depletion–Like Cooling in an Idealized Atmospheric Model","Journal of the Atmospheric Sciences",72,2,"feb","763--773",2015,"","","http://journals.ametsoc.org/doi/10.1175/JAS-D-13-0353.1","","","","","","","","","","","","","","","","",""
7,"","Yang2015","Yang, Huang; Chen, Gang; Tang, Qi; Hess, Peter G.","Quantifying isentropic stratosphere-troposphere exchange of ozone","Journal of Geophysical Research: Atmospheres",121,7,"apr","3372--3387",2016,"","","http://doi.wiley.com/10.1002/2015JD024180","","","","","","","","","","","","","","","10.1002/2015JD024180 and stratosphere-troposphere,diabatic heating,isentropic diagnostics,mixing","",""
7,"","Zhang2012","Zhang, Yang; Yang, Xiu-Qun; Nie, Yu; Chen, Gang","Annular Mode-Like Variation in a Multilayer Quasigeostrophic Model","Journal of the Atmospheric Sciences",69,10,"oct","2940--2958",2012,"","","http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-11-0214.1","","","","","","","","","","","","","","","","",""
